iter	Passed	Remaining
0	121	121179
1	122	61078
2	123	40988
3	124	31051
4	126	25102
5	127	21169
6	128	18240
7	129	16035
8	130	14315
9	130	12950
10	131	11825
11	132	10892
12	133	10101
13	133	9422
14	134	8833
15	135	8316
16	135	7861
17	136	7455
18	137	7094
19	138	6770
20	139	6514
21	140	6250
22	141	6005
23	142	5780
24	143	5580
25	144	5397
26	144	5220
27	145	5054
28	146	4898
29	147	4753
30	147	4616
31	148	4488
32	149	4369
33	149	4256
34	150	4149
35	151	4051
36	151	3955
37	152	3865
38	153	3791
39	154	3717
40	155	3642
41	156	3570
42	157	3503
43	158	3435
44	158	3370
45	159	3308
46	160	3248
47	160	3191
48	161	3139
49	162	3087
50	163	3037
51	163	2988
52	164	2941
53	165	2897
54	166	2852
55	166	2808
56	167	2766
57	168	2734
58	169	2698
59	169	2663
60	170	2626
61	171	2589
62	171	2555
63	172	2520
64	172	2487
65	173	2456
66	174	2424
67	174	2395
68	175	2366
69	175	2338
70	176	2310
71	177	2283
72	177	2257
73	178	2232
74	178	2207
75	179	2183
76	180	2159
77	180	2136
78	181	2113
79	181	2092
80	183	2078
81	183	2058
82	184	2035
83	184	2016
84	185	1997
85	186	1979
86	186	1960
87	187	1942
88	188	1924
89	188	1907
90	189	1890
91	189	1873
92	190	1856
93	190	1840
94	191	1824
95	192	1809
96	192	1794
97	193	1780
98	194	1766
99	194	1752
100	195	1739
101	196	1726
102	196	1714
103	198	1708
104	199	1696
105	199	1684
106	200	1672
107	201	1661
108	201	1650
109	202	1638
110	203	1627
111	203	1616
112	204	1605
113	205	1595
114	205	1584
115	206	1574
116	207	1563
117	207	1553
118	208	1543
119	209	1533
120	209	1524
121	210	1513
122	211	1504
123	211	1495
124	212	1489
125	213	1482
126	214	1473
127	215	1464
128	215	1456
129	216	1447
130	216	1439
131	217	1430
132	218	1422
133	218	1414
134	219	1406
135	220	1399
136	221	1393
137	221	1385
138	222	1378
139	223	1370
140	223	1363
141	224	1354
142	224	1347
143	225	1340
144	226	1333
145	226	1326
146	227	1322
147	228	1317
148	229	1311
149	230	1304
150	230	1298
151	231	1293
152	232	1289
153	233	1282
154	234	1276
155	234	1270
156	235	1264
157	236	1258
158	236	1252
159	237	1246
160	237	1239
161	238	1233
162	239	1227
163	239	1221
164	240	1215
165	240	1210
166	241	1205
167	242	1200
168	243	1197
169	244	1192
170	245	1187
171	245	1182
172	246	1179
173	247	1174
174	248	1170
175	249	1167
176	250	1163
177	250	1158
178	251	1153
179	252	1148
180	252	1143
181	253	1139
182	254	1134
183	254	1129
184	255	1125
185	256	1121
186	256	1117
187	257	1114
188	258	1110
189	259	1106
190	260	1102
191	260	1097
192	261	1093
193	262	1089
194	262	1085
195	263	1081
196	264	1077
197	265	1073
198	265	1069
199	266	1065
200	267	1061
201	267	1057
202	268	1053
203	269	1049
204	269	1045
205	270	1041
206	270	1037
207	271	1033
208	272	1029
209	273	1027
210	274	1024
211	274	1021
212	275	1018
213	276	1014
214	276	1010
215	277	1007
216	278	1003
217	278	1000
218	279	996
219	280	993
220	280	989
221	281	986
222	282	982
223	282	979
224	283	976
225	284	972
226	284	969
227	285	966
228	286	962
229	286	960
230	287	956
231	288	955
232	289	952
233	290	949
234	290	946
235	291	943
236	291	939
237	292	936
238	293	933
239	293	930
240	294	927
241	295	924
242	295	921
243	296	918
244	297	915
245	297	912
246	298	909
247	298	906
248	299	903
249	300	900
250	300	897
251	301	895
252	302	892
253	303	891
254	304	889
255	305	886
256	305	883
257	306	880
258	306	878
259	307	875
260	308	872
261	308	869
262	309	867
263	310	864
264	310	861
265	311	858
266	311	856
267	312	853
268	313	851
269	314	849
270	314	846
271	315	844
272	316	842
273	316	839
274	317	837
275	318	835
276	319	833
277	319	830
278	320	828
279	321	826
280	322	825
281	323	822
282	323	820
283	324	818
284	325	815
285	325	813
286	326	810
287	327	808
288	327	806
289	328	804
290	329	801
291	329	799
292	330	797
293	331	795
294	331	792
295	332	791
296	333	789
297	334	787
298	335	785
299	335	783
300	336	781
301	337	779
302	337	776
303	338	774
304	339	772
305	339	770
306	340	768
307	340	765
308	341	763
309	342	761
310	342	759
311	343	757
312	344	755
313	344	752
314	345	750
315	345	748
316	346	746
317	347	744
318	348	742
319	349	741
320	349	739
321	350	737
322	350	735
323	351	733
324	352	731
325	352	729
326	353	727
327	353	725
328	354	723
329	355	720
330	355	718
331	356	716
332	356	714
333	357	712
334	357	710
335	358	708
336	359	706
337	359	704
338	360	702
339	360	700
340	361	698
341	362	696
342	362	694
343	363	693
344	364	692
345	365	690
346	365	688
347	366	686
348	366	684
349	367	682
350	367	680
351	368	678
352	369	676
353	369	674
354	370	672
355	370	671
356	371	669
357	372	667
358	372	665
359	373	663
360	373	661
361	374	659
362	375	658
363	375	656
364	376	654
365	377	653
366	378	652
367	379	651
368	380	649
369	380	648
370	381	646
371	382	645
372	382	643
373	383	641
374	384	640
375	384	638
376	385	637
377	386	635
378	386	633
379	387	632
380	388	630
381	388	628
382	389	627
383	389	625
384	390	623
385	391	622
386	391	620
387	392	619
388	393	618
389	394	616
390	395	615
391	395	613
392	396	612
393	397	610
394	397	609
395	398	607
396	398	605
397	399	604
398	399	602
399	400	600
400	401	599
401	401	597
402	402	596
403	403	594
404	403	592
405	404	591
406	404	590
407	405	588
408	406	586
409	406	585
410	407	583
411	408	582
412	409	581
413	410	580
414	410	578
415	411	577
416	412	576
417	413	575
418	413	573
419	414	572
420	415	570
421	415	569
422	416	567
423	416	566
424	417	564
425	418	563
426	418	561
427	419	560
428	420	559
429	420	557
430	421	556
431	422	554
432	422	553
433	423	552
434	424	551
435	425	550
436	425	548
437	426	547
438	427	546
439	428	544
440	428	543
441	429	542
442	430	540
443	430	539
444	431	538
445	432	536
446	432	535
447	433	534
448	434	532
449	434	531
450	435	530
451	436	529
452	437	527
453	437	526
454	438	525
455	439	524
456	440	523
457	441	522
458	442	521
459	442	519
460	443	518
461	444	517
462	445	516
463	446	516
464	447	515
465	448	514
466	449	512
467	449	511
468	450	510
469	451	508
470	452	508
471	454	508
472	455	507
473	457	507
474	457	506
475	458	504
476	459	503
477	459	502
478	460	500
479	461	499
480	461	498
481	462	497
482	463	495
483	463	494
484	464	493
485	465	491
486	465	490
487	466	489
488	467	488
489	468	487
490	469	486
491	470	485
492	470	484
493	471	483
494	472	482
495	473	481
496	474	480
497	475	479
498	475	477
499	476	476
500	477	475
501	477	474
502	478	472
503	479	471
504	479	470
505	480	469
506	481	467
507	481	466
508	482	465
509	483	464
510	485	464
511	485	463
512	487	462
513	487	461
514	488	460
515	489	459
516	490	457
517	490	456
518	491	455
519	492	454
520	493	453
521	493	452
522	494	451
523	495	450
524	496	449
525	497	448
526	498	447
527	499	446
528	500	445
529	501	444
530	502	443
531	503	442
532	504	442
533	505	441
534	506	440
535	508	439
536	509	438
537	509	437
538	510	436
539	511	435
540	512	434
541	513	433
542	514	432
543	515	431
544	516	430
545	516	429
546	517	428
547	518	427
548	519	426
549	519	425
550	521	425
551	522	424
552	524	423
553	524	422
554	525	421
555	526	420
556	526	419
557	527	417
558	528	416
559	528	415
560	529	414
561	530	413
562	530	412
563	531	411
564	532	409
565	532	408
566	533	407
567	534	406
568	534	405
569	535	403
570	536	402
571	536	401
572	538	400
573	539	400
574	539	399
575	540	397
576	541	396
577	542	395
578	542	394
579	543	393
580	544	392
581	544	391
582	545	390
583	546	389
584	546	387
585	547	386
586	547	385
587	548	384
588	549	383
589	549	382
590	550	381
591	551	380
592	552	379
593	553	378
594	554	377
595	555	376
596	556	375
597	557	374
598	557	373
599	558	372
600	559	371
601	559	370
602	560	368
603	560	367
604	561	366
605	562	365
606	562	364
607	563	363
608	564	362
609	564	361
610	565	359
611	566	358
612	566	357
613	568	357
614	569	356
615	569	355
616	570	354
617	571	353
618	572	352
619	572	351
620	573	349
621	573	348
622	574	347
623	575	346
624	575	345
625	576	344
626	577	343
627	577	342
628	578	341
629	579	340
630	579	339
631	580	337
632	581	336
633	581	335
634	583	335
635	584	334
636	584	333
637	585	332
638	586	331
639	587	330
640	587	329
641	588	328
642	589	327
643	589	325
644	590	324
645	591	323
646	591	322
647	592	321
648	593	320
649	593	319
650	594	318
651	595	317
652	595	316
653	596	315
654	597	314
655	598	313
656	599	312
657	600	311
658	600	310
659	601	309
660	602	308
661	602	307
662	603	306
663	604	305
664	604	304
665	605	303
666	606	302
667	606	301
668	607	300
669	608	299
670	608	298
671	609	297
672	610	296
673	610	295
674	611	294
675	612	293
676	613	292
677	614	291
678	615	290
679	615	289
680	616	288
681	617	287
682	617	286
683	618	285
684	618	284
685	619	283
686	620	282
687	620	281
688	621	280
689	621	279
690	622	278
691	622	277
692	623	276
693	624	275
694	624	274
695	625	273
696	625	272
697	626	271
698	628	270
699	629	269
700	629	268
701	630	267
702	631	266
703	631	265
704	632	264
705	633	263
706	633	262
707	634	261
708	634	260
709	635	259
710	636	258
711	636	257
712	637	256
713	637	255
714	638	254
715	639	253
716	639	252
717	640	251
718	641	250
719	641	249
720	642	248
721	643	247
722	644	246
723	645	246
724	646	245
725	646	244
726	647	243
727	647	242
728	648	241
729	649	240
730	649	239
731	650	238
732	650	237
733	651	236
734	652	235
735	653	234
736	653	233
737	654	232
738	654	231
739	655	230
740	656	229
741	656	228
742	657	227
743	658	226
744	659	225
745	660	224
746	660	223
747	661	222
748	662	221
749	662	220
750	663	219
751	663	218
752	664	217
753	665	216
754	665	216
755	666	215
756	666	214
757	667	213
758	667	212
759	668	211
760	669	210
761	669	209
762	670	208
763	670	207
764	671	206
765	672	205
766	673	204
767	674	203
768	675	202
769	675	201
770	676	200
771	677	199
772	677	198
773	678	198
774	678	197
775	679	196
776	680	195
777	680	194
778	681	193
779	681	192
780	682	191
781	682	190
782	683	189
783	684	188
784	684	187
785	685	186
786	685	185
787	686	184
788	687	183
789	688	183
790	689	182
791	689	181
792	690	180
793	691	179
794	691	178
795	692	177
796	692	176
797	693	175
798	694	174
799	694	173
800	695	172
801	695	171
802	696	170
803	697	169
804	697	168
805	698	168
806	698	167
807	699	166
808	699	165
809	700	164
810	701	163
811	701	162
812	702	161
813	703	160
814	703	159
815	704	158
816	705	157
817	705	157
818	706	156
819	706	155
820	707	154
821	708	153
822	708	152
823	709	151
824	709	150
825	710	149
826	711	148
827	711	147
828	712	146
829	712	145
830	713	145
831	714	144
832	714	143
833	715	142
834	715	141
